composition
Si32H198C66
Si28H78.52C26
Ga3H57C24
Sb0.15As9.85S14
Sb0.11As9.89S14
Al4H60C24
Ga4H60C24
Pr12C6I17
Co6C22O18
H10C5O5
H26C20N4
H19C18N3
H12C5N2
H8C3O2
H8C3S2
Co2C8O8
Ru4S4Cl18.06
P3N1Cl12
P3N1Cl12
Nb2Cl10
W2Cl10
Fe3.808Ni3.808Te5.984
H10Se1O8
As2Kr3F16
Sb1Kr3F11
Sb2Kr5F20
Te12Mo2I6
Te21Mo6I22
H18C2N18
B2H12N2
B4H16N2
Fe2N6O12.08
Nb2Te8I12
Nb3S1Br7
H54W12O63
Re2Cl7O3
Re3S7Cl7
Pt1S2Cl6
Pt1S2Cl8
Si11H60.03C20
Si10H54.03C18
Si14H84C28
Si10H60C20
Si12H72C24
Si11H66C22
Si8H33.062C11
Si7H42C14
Si8H48C16
Si20H114C38
Si22H126C42
Sr0.5Yb1.5F5.5
Re4Te8Cl16
Re2Te6Br10
U1H8O8
W6Br12
W2C1Cl8
Cr4Xe5F44
Zr1.5Sc2N4
Ag4H6N22
Ag1H9N6
Ag1H15N8
Ag1Hg0.5I2
Ag1Hg0.5I2
Ag0.5Pb0.25I1
Ag0.63Sb2.5O6.1
Ag0.667Pb0.167I1
Ag0.98Bi1.02I4
Ag1.19Sb2.36O6.13
Ag1.49Bi1.51I6
Ag1.5Bi1.5I6
Ag1.69Sb2.274O6.25
Ag1.77Sb2.07O6
Ag11Pd11Se6
Ag2.4Sn0.8I4
Ag10C2F8
Li33.28Ag18.72
Yb3Al4.96Ag4.03
Li1.18Ag0.82
Yb1.85Al10Ag7
Yb2Al7.55Ag9.45
Ag1As1F7
Ag1Au1F7
Ag1B1F5
Ag3As1F12
Ag3N5O6
Zn0.5Ag1I2
Al0.06In1.94S3
Al0.293In2.373S4
Sr1Al0.35Ga3.77
Al0.4Ni1Ge1.6
Al0.6V1Si1.4
Ti1Nb0.25Al0.75
Li0.88Ca1Al1.12
Li0.675Ca1Al1.325
Li0.34Ca1Al1.66
Li0.4Ca1Al1.6
Al5.76Fe1Cu0.24
Al1.98Cr0.02O3
Al2.34Si0.66O4.83
Al2.36Ge0.64O4.82
Al2.41Si0.59O4.793
Er2.668Al16.008Pt6.003
Al2.666O3.999
Al20B4O36
Al22.02Ag1.89O34
Al22.13Ag2.5O34.25
Ho1Al3Cu1
Ca1Al6.5Cu6.5
La1Al6.96Cu6.04
Ce1Al7.2Pd3.8
Sb1.02As0.98S3
Mo10As2O31
As4C4F12
As2Cl4F6
As1S24I3
Mo5As1O16
Mo7As1O22
As2Cl6O2
Yb1Ga2.94Au1.06
Ag0.218Te2Au0.782
Ta14.3Au0.7S2
Ag0.19Te2Au0.81
Ag0.112Te2Au0.888
Ag0.092Te2Au0.908
Ag0.052Te2Au0.948
Ag0.02Te2Au0.98
Sn1.002P7Au2.998
Cr1.04Au3.96
Sn1P7Au3
Au1S1Cl5
B11.4C3.6
B20H26
B12C3
Mg1.42B25C4
V1.54B50
V1.29B48C2
Ti1.86B48C2
Be1B6H14
B17F27
B18H16S2
B3H12N3
B3N3Cl6
Ba0.097Sr0.9Sn3
Ba0.19Sr0.81Sn3
Ba0.1Sr0.9Sn5
Ba0.27Sr0.73Sn3
Ba0.2Sr3.3Sn17.5
Ba0.367Sr0.633Si2
Ba0.593Sr0.407Si2
Ba0.5Bi1.5O2.16
Ba0.63Sr0.37Sn5
Ba0.6Bi0.4F2.4
Ba0.73Pr0.27F2.27
Ba0.75Lu0.25F2.25
Ba0.78Nd0.22F2.22
